Games,Event,Team,Pos,Medal,As,athlete_id,NOC,Discipline,Nationality
2024 Summer Olympics,"3x3 Basketball, Men",United States,7,,Jimmer Fredette,150902,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"3x3 Basketball, Men",United States,7,,Canyon Barry,150900,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"3x3 Basketball, Men",United States,7,,Kareem Maddox,150904,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"3x3 Basketball, Men",United States,7,,Dylan Travis,150901,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"3x3 Basketball, Women",United States,3,Bronze,Dearica Hamby,150895,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"3x3 Basketball, Women",United States,3,Bronze,Cierra Burdick,150894,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"3x3 Basketball, Women",United States,3,Bronze,Hailey van Lith,2506196,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"3x3 Basketball, Women",United States,3,Bronze,Rhyne Howard,150897,USA,3x3 Basketball ( Basketball ),
2024 Summer Olympics,"Individual, Men",,2,Silver,Brady Ellison,111530,USA,Archery,
2024 Summer Olympics,"Team, Mixed",Casey Kaufhold,3,Bronze,Brady Ellison,111530,USA,Archery,
2024 Summer Olympics,"Individual, Women",,=17,,Casey Kaufhold,147091,USA,Archery,
2024 Summer Olympics,"Team, Mixed",Brady Ellison,3,Bronze,Casey Kaufhold,147091,USA,Archery,
2024 Summer Olympics,"Team, Women",United States,=9,,Casey Kaufhold,147091,USA,Archery,
2024 Summer Olympics,"Individual, Women",,=17,,Catalina Gnoriega,2506187,USA,Archery,
2024 Summer Olympics,"Team, Women",United States,=9,,Catalina Gnoriega,2506187,USA,Archery,
2024 Summer Olympics,"Individual, Women",,=33,,Jennifer Mucino-Fernandez,147092,USA,Archery,
2024 Summer Olympics,"Team, Women",United States,=9,,Jennifer Mucino-Fernandez,147092,USA,Archery,
2024 Summer Olympics,"Individual All-Around, Men",,14,,Paul Juda,152720,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Men",United States,3,Bronze,Paul Juda,152720,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Men",,23 r1/2,,Paul Juda,152720,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Parallel Bars, Men",,38 r1/2,,Paul Juda,152720,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Horizontal Bar, Men",,36 r1/2,,Paul Juda,152720,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Rings, Men",,35 r1/2,,Paul Juda,152720,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Pommelled Horse, Men",,31 r1/2,,Paul Juda,152720,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Individual All-Around, Men",,15,,Fred Richard,152719,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Men",United States,3,Bronze,Fred Richard,152719,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Men",,26 r1/2,,Fred Richard,152719,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Parallel Bars, Men",,23 r1/2,,Fred Richard,152719,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Horizontal Bar, Men",,11 r1/2,,Fred Richard,152719,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Rings, Men",,31 r1/2,,Fred Richard,152719,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Pommelled Horse, Men",,29 r1/2,,Fred Richard,152719,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Individual All-Around, Men",,30 r1/2,,Brody Malone,147423,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Men",United States,3,Bronze,Brody Malone,147423,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Men",,61 r1/2,,Brody Malone,147423,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Parallel Bars, Men",,18 r1/2,,Brody Malone,147423,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Horizontal Bar, Men",,59 r1/2,,Brody Malone,147423,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Rings, Men",,14 r1/2,,Brody Malone,147423,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Pommelled Horse, Men",,55 r1/2,,Brody Malone,147423,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Men",United States,3,Bronze,Asher Hong,152718,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Men",,17 r1/2,,Asher Hong,152718,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Vault, Men",,9 r1/2,,Asher Hong,152718,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Parallel Bars, Men",,28 r1/2,,Asher Hong,152718,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Horizontal Bar, Men",,51 r1/2,,Asher Hong,152718,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Rings, Men",,10 r1/2,,Asher Hong,152718,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Men",United States,3,Bronze,Stephen Nedoroscik,152721,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Pommelled Horse, Men",,3,Bronze,Stephen Nedoroscik,152721,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Individual All-Around, Women",,1,Gold,Simone Biles,132107,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Women",United States,1,Gold,Simone Biles,132107,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Women",,2,Silver,Simone Biles,132107,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Vault, Women",,1,Gold,Simone Biles,132107,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Uneven Bars, Women",,9 r1/2,,Simone Biles,132107,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Balance Beam, Women",,5,,Simone Biles,132107,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Individual All-Around, Women",,3,Bronze,Suni Lee,147194,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Women",United States,1,Gold,Suni Lee,147194,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Women",,24 r1/2,,Suni Lee,147194,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Uneven Bars, Women",,3,Bronze,Suni Lee,147194,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Balance Beam, Women",,6,,Suni Lee,147194,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Individual All-Around, Women",,4 r1/2,,Jordan Chiles,147192,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Women",United States,1,Gold,Jordan Chiles,147192,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Women",,5,,Jordan Chiles,147192,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Vault, Women",,4 r1/2,,Jordan Chiles,147192,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Uneven Bars, Women",,14 r1/2,,Jordan Chiles,147192,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Balance Beam, Women",,15 r1/2,,Jordan Chiles,147192,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Women",United States,1,Gold,Jade Carey,147191,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Floor Exercise, Women",,74 r1/2,,Jade Carey,147191,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Vault, Women",,3,Bronze,Jade Carey,147191,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Team All-Around, Women",United States,1,Gold,Hezly Rivera,152716,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Uneven Bars, Women",,21 r1/2,,Hezly Rivera,152716,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Balance Beam, Women",,46 r1/2,,Hezly Rivera,152716,USA,Artistic Gymnastics ( Gymnastics ),
2024 Summer Olympics,"Duet, Women",Megumi Field,10,,Jaime Czarkowski,154885,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Jaime Czarkowski,154885,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Duet, Women",Jaime Czarkowski,10,,Megumi Field,154887,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Megumi Field,154887,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Anita Alvarez,132164,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Keana Hunter,154886,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Audrey Kwon,154881,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Jacklyn Luu,154884,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Daniella Ramirez,154883,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"Team, Women",United States,2,Silver,Ruby Remati,154888,USA,Artistic Swimming ( Aquatics ),
2024 Summer Olympics,"100 metres, Men",,1,Gold,Noah Lyles,2104512,USA,Athletics,
2024 Summer Olympics,"200 metres, Men",,3,Bronze,Noah Lyles,2104512,USA,Athletics,
2024 Summer Olympics,"100 metres, Men",,3,Bronze,Fred Kerley,147327,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Men",United States,DQ final,,Fred Kerley,147327,USA,Athletics,
2024 Summer Olympics,"100 metres, Men",,7,,Kenny Bednarek,147336,USA,Athletics,
2024 Summer Olympics,"200 metres, Men",,2,Silver,Kenny Bednarek,147336,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Men",United States,DQ final,,Kenny Bednarek,147336,USA,Athletics,
2024 Summer Olympics,"200 metres, Men",,4,,Erriyon Knighton,147326,USA,Athletics,
2024 Summer Olympics,"400 metres, Men",,1,Gold,Quincy Hall,150676,USA,Athletics,
2024 Summer Olympics,"400 metres, Men",,6,,Christopher Bailey,150650,USA,Athletics,
