Games,Event,Team,Pos,Medal,As,athlete_id,NOC,Discipline,Nationality
2024 Summer Olympics,"4 × 400 metres Relay, Men",United States,1,Gold,Christopher Bailey,150650,USA,Athletics,
2024 Summer Olympics,"400 metres, Men",,8,,Michael Norman,147342,USA,Athletics,
2024 Summer Olympics,"800 metres, Men",,4,,Bryce Hoppel,147315,USA,Athletics,
2024 Summer Olympics,"800 metres, Men",,5h1 r3/4,,Brandon Miller,150648,USA,Athletics,
2024 Summer Olympics,"800 metres, Men",,6h2 r3/4,,Hobbs Kessler,150662,USA,Athletics,
2024 Summer Olympics,"1,500 metres, Men",,5,,Hobbs Kessler,150662,USA,Athletics,
2024 Summer Olympics,"1,500 metres, Men",,1,Gold,Cole Hocker,147317,USA,Athletics,
2024 Summer Olympics,"1,500 metres, Men",,3,Bronze,Yared Nuguse,147358,USA,Athletics,
2024 Summer Olympics,"5,000 metres, Men",,3,Bronze,Grant Fisher,147329,USA,Athletics,
2024 Summer Olympics,"10,000 metres, Men",,3,Bronze,Grant Fisher,147329,USA,Athletics,
2024 Summer Olympics,"5,000 metres, Men",,9,,Graham Blanks,150659,USA,Athletics,
2024 Summer Olympics,"5,000 metres, Men",,19h2 r1/2,,Abdihamid Nur,150647,USA,Athletics,
2024 Summer Olympics,"10,000 metres, Men",,11,,Nico Young,150675,USA,Athletics,
2024 Summer Olympics,"10,000 metres, Men",,15,,Woody Kincaid,147357,USA,Athletics,
2024 Summer Olympics,"Marathon, Men",,8,,Conner Mantz,150653,USA,Athletics,
2024 Summer Olympics,"Marathon, Men",,9,,Clayton Young,150652,USA,Athletics,
2024 Summer Olympics,"Marathon, Men",,63,,Leonard Essau Korir,136253,USA,Athletics,
2024 Summer Olympics,"110 metres Hurdles, Men",,1,Gold,Grant Holloway,147330,USA,Athletics,
2024 Summer Olympics,"110 metres Hurdles, Men",,2,Silver,Daniel Roberts,147321,USA,Athletics,
2024 Summer Olympics,"110 metres Hurdles, Men",,6,,Freddie Crittenden,150658,USA,Athletics,
2024 Summer Olympics,"400 metres Hurdles, Men",,1,Gold,Rai Benjamin,147346,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Men",United States,1,Gold,Rai Benjamin,147346,USA,Athletics,
2024 Summer Olympics,"400 metres Hurdles, Men",,4h1 r3/4,,Trevor Bassitt,150681,USA,Athletics,
2024 Summer Olympics,"400 metres Hurdles, Men",,4h2 r3/4,,CJ Allen,150651,USA,Athletics,
2024 Summer Olympics,"3,000 metres Steeplechase, Men",,2,Silver,Kenneth Rooks,150670,USA,Athletics,
2024 Summer Olympics,"3,000 metres Steeplechase, Men",,6h2 r1/2,,Matthew Wilkinson,150674,USA,Athletics,
2024 Summer Olympics,"3,000 metres Steeplechase, Men",,10h1 r1/2,,James Corrigan,150664,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Men",United States,DQ final,,Christian Coleman,136238,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Men",United States,DQ final,,Kyree King,150672,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Men",United States,DQ final,,Courtney Lindsey,150655,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Men",United States,1,Gold,Vernon Norwood,147355,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Mixed",United States,2,Silver,Vernon Norwood,147355,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Men",United States,1,Gold,Bryce Deadmon,147314,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Mixed",United States,2,Silver,Bryce Deadmon,147314,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Men",United States,1,Gold,Quincy Wilson,150677,USA,Athletics,
2024 Summer Olympics,"High Jump, Men",,2,Silver,Shelby McEwen,147351,USA,Athletics,
2024 Summer Olympics,"High Jump, Men",,=19 QR,,JuVaughn Harrison,147334,USA,Athletics,
2024 Summer Olympics,"High Jump, Men",,28 QR,,Vernon Turner,150682,USA,Athletics,
2024 Summer Olympics,"Pole Vault, Men",,2,Silver,Sam Kendricks,136266,USA,Athletics,
2024 Summer Olympics,"Pole Vault, Men",,22 QR,,Jacob Wooten,150663,USA,Athletics,
2024 Summer Olympics,"Pole Vault, Men",,=26 QR,,Chris Nilsen,147316,USA,Athletics,
2024 Summer Olympics,"Long Jump, Men",,15 r1/2,,Jeremiah Davis,150665,USA,Athletics,
2024 Summer Olympics,"Long Jump, Men",,21 r1/2,,Malcolm Clemons,2504215,USA,Athletics,
2024 Summer Olympics,"Long Jump, Men",,NM r1/2,,Jarrion Lawson,136247,USA,Athletics,
2024 Summer Olympics,"Triple Jump, Men",,6,,Salif Mane,150679,USA,Athletics,
2024 Summer Olympics,"Triple Jump, Men",,14 r1/2,,Donald Scott,147324,USA,Athletics,
2024 Summer Olympics,"Triple Jump, Men",,22 r1/2,,Russell Robinson,150678,USA,Athletics,
2024 Summer Olympics,"Shot Put, Men",,1,Gold,Ryan Crouser,136264,USA,Athletics,
2024 Summer Olympics,"Shot Put, Men",,2,Silver,Joe Kovacs,136251,USA,Athletics,
2024 Summer Olympics,"Shot Put, Men",,4,,Payton Otterdahl,147345,USA,Athletics,
2024 Summer Olympics,"Discus Throw, Men",,14 QR,,Sam Mattis,147350,USA,Athletics,
2024 Summer Olympics,"Discus Throw, Men",,17 QR,,Andrew Evans,136229,USA,Athletics,
2024 Summer Olympics,"Discus Throw, Men",,22 QR,,Joseph Brown,150667,USA,Athletics,
2024 Summer Olympics,"Hammer Throw, Men",,6,,Rudy Winkler,136263,USA,Athletics,
2024 Summer Olympics,"Hammer Throw, Men",,NM QR,,Daniel Haugh,147320,USA,Athletics,
2024 Summer Olympics,"Javelin Throw, Men",,27 QR,,Curtis Thompson,147319,USA,Athletics,
2024 Summer Olympics,"Decathlon, Men",,7,,Harrison Williams,150660,USA,Athletics,
2024 Summer Olympics,"Decathlon, Men",,10,,Heath Baldwin,150661,USA,Athletics,
2024 Summer Olympics,"Decathlon, Men",,17,,Zach Ziemek,136270,USA,Athletics,
2024 Summer Olympics,"100 metres, Women",,2,Silver,Sha'Carri Richardson,150638,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Women",United States,1,Gold,Sha'Carri Richardson,150638,USA,Athletics,
2024 Summer Olympics,"100 metres, Women",,3,Bronze,Melissa Jefferson,150629,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Women",United States,1,Gold,Melissa Jefferson,150629,USA,Athletics,
2024 Summer Olympics,"100 metres, Women",,5,,Twanisha Terry,150643,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Women",United States,1,Gold,Twanisha Terry,150643,USA,Athletics,
2024 Summer Olympics,"200 metres, Women",,1,Gold,Gabby Thomas,147109,USA,Athletics,
2024 Summer Olympics,"4 × 100 metres Relay, Women",United States,1,Gold,Gabby Thomas,147109,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Women",United States,1,Gold,Gabby Thomas,147109,USA,Athletics,
2024 Summer Olympics,"200 metres, Women",,3,Bronze,Brittany Brown,150608,USA,Athletics,
2024 Summer Olympics,"200 metres, Women",,7,,McKenzie Long,150628,USA,Athletics,
2024 Summer Olympics,"400 metres, Women",,6,,Alexis Holmes,150602,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Women",United States,1,Gold,Alexis Holmes,150602,USA,Athletics,
2024 Summer Olympics,"400 metres, Women",,4h3 r3/4,,Kendall Ellis,147117,USA,Athletics,
2024 Summer Olympics,"400 metres, Women",,6h1 r3/4,,Aaliyah Butler,150600,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Women",United States,1,Gold,Aaliyah Butler,150600,USA,Athletics,
2024 Summer Olympics,"800 metres, Women",,7,,Juliette Whittaker,150624,USA,Athletics,
2024 Summer Olympics,"800 metres, Women",,3h3 r3/4,,Nia Akins,150633,USA,Athletics,
2024 Summer Olympics,"800 metres, Women",,3h2 r2/4,,Allie Wilson,150604,USA,Athletics,
2024 Summer Olympics,"1,500 metres, Women",,7,,Nikki Hiltz,150634,USA,Athletics,
2024 Summer Olympics,"1,500 metres, Women",,8,,Elle Purrier St. Pierre,147104,USA,Athletics,
2024 Summer Olympics,"1,500 metres, Women",,13h2 r3/4,,Emily Mackay,150614,USA,Athletics,
2024 Summer Olympics,"5,000 metres, Women",,10,,Karissa Schweizer,147114,USA,Athletics,
2024 Summer Olympics,"10,000 metres, Women",,9,,Karissa Schweizer,147114,USA,Athletics,
2024 Summer Olympics,"5,000 metres, Women",,11,,Elise Cranny,147105,USA,Athletics,
2024 Summer Olympics,"5,000 metres, Women",,14,,Whittni Morgan,150646,USA,Athletics,
2024 Summer Olympics,"10,000 metres, Women",,8,,Weini Kelati,150645,USA,Athletics,
2024 Summer Olympics,"10,000 metres, Women",,11,,Parker Valby,150635,USA,Athletics,
2024 Summer Olympics,"Marathon, Women",,11,,Dakotah Lindwurm,150613,USA,Athletics,
2024 Summer Olympics,"Marathon, Women",,22,,Emily Sisson,147106,USA,Athletics,
2024 Summer Olympics,"Marathon, Women",,DNF,,Fiona O'Keeffe,150616,USA,Athletics,
2024 Summer Olympics,"100 metres Hurdles, Women",,1,Gold,Masai Russell,150627,USA,Athletics,
2024 Summer Olympics,"100 metres Hurdles, Women",,5,,Grace Stark,2506191,USA,Athletics,
2024 Summer Olympics,"100 metres Hurdles, Women",,7,,Alaysha Johnson,150601,USA,Athletics,
2024 Summer Olympics,"400 metres Hurdles, Women",,1,Gold,Sydney McLaughlin-Levrone,132050,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Women",United States,1,Gold,Sydney McLaughlin-Levrone,132050,USA,Athletics,
2024 Summer Olympics,"400 metres Hurdles, Women",,2,Silver,Anna Cockrell,147098,USA,Athletics,
2024 Summer Olympics,"400 metres Hurdles, Women",,4,,Jasmine Jones,150621,USA,Athletics,
2024 Summer Olympics,"3,000 metres Steeplechase, Women",,12,,Courtney Wayment,150612,USA,Athletics,
2024 Summer Olympics,"3,000 metres Steeplechase, Women",,15,,Valerie Constien,147135,USA,Athletics,
2024 Summer Olympics,"3,000 metres Steeplechase, Women",,7h3 r1/2,,Marisa Howard,150626,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Women",United States,1,Gold,Shamier Little,150639,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Mixed",United States,2,Silver,Shamier Little,150639,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Women",United States,1,Gold,Quanera Hayes,147122,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Women",United States,1,Gold,Kaylyn Brown,150625,USA,Athletics,
2024 Summer Olympics,"4 × 400 metres Relay, Mixed",United States,2,Silver,Kaylyn Brown,150625,USA,Athletics,
2024 Summer Olympics,"High Jump, Women",,5,,Vashti Cunningham,132053,USA,Athletics,
2024 Summer Olympics,"High Jump, Women",,=15,,Rachel Glenn,150636,USA,Athletics,
2024 Summer Olympics,"Pole Vault, Women",,2,Silver,Katie Moon,147115,USA,Athletics,
2024 Summer Olympics,"Pole Vault, Women",,=22 QR,,Bridget Williams,150607,USA,Athletics,
2024 Summer Olympics,"Pole Vault, Women",,=22 QR,,Brynn King,150609,USA,Athletics,
2024 Summer Olympics,"Long Jump, Women",,1,Gold,Tara Davis-Woodhall,147129,USA,Athletics,
2024 Summer Olympics,"Long Jump, Women",,3,Bronze,Jasmine Moore,147111,USA,Athletics,
2024 Summer Olympics,"Triple Jump, Women",,3,Bronze,Jasmine Moore,147111,USA,Athletics,
2024 Summer Olympics,"Long Jump, Women",,6,,Monae' Nichols,150632,USA,Athletics,
2024 Summer Olympics,"Triple Jump, Women",,9,,Keturah Orji,132038,USA,Athletics,
2024 Summer Olympics,"Triple Jump, Women",,14 r1/2,,Tori Franklin,147132,USA,Athletics,
2024 Summer Olympics,"Shot Put, Women",,4,,Jaida Ross,150619,USA,Athletics,
2024 Summer Olympics,"Shot Put, Women",,11,,Raven Saunders,132046,USA,Athletics,
2024 Summer Olympics,"Shot Put, Women",,17 QR,,Chase Jackson,150611,USA,Athletics,
2024 Summer Olympics,"Discus Throw, Women",,1,Gold,Valarie Allman,147134,USA,Athletics,
2024 Summer Olympics,"Discus Throw, Women",,13 QR,,Veronica Fraley,150644,USA,Athletics,
2024 Summer Olympics,"Discus Throw, Women",,18 QR,,Jayden Ulrich,150622,USA,Athletics,
2024 Summer Olympics,"Hammer Throw, Women",,2,Silver,Annette Echikunwoke,150606,USA,Athletics,
2024 Summer Olympics,"Hammer Throw, Women",,11,,DeAnna Price,132026,USA,Athletics,
2024 Summer Olympics,"Hammer Throw, Women",,14,,Erin Reese,150615,USA,Athletics,
2024 Summer Olympics,"Javelin Throw, Women",,24,,Maggie Malone-Hardin,132040,USA,Athletics,
2024 Summer Olympics,"Heptathlon, Women",,5,,Anna Hall,150605,USA,Athletics,
2024 Summer Olympics,"Heptathlon, Women",,11,,Taliyah Brooks,150641,USA,Athletics,
2024 Summer Olympics,"Heptathlon, Women",,21,,Chari Hawkins,150610,USA,Athletics,
2024 Summer Olympics,"Singles, Men",,=27,,Howard Shu,136281,USA,Badminton,
2024 Summer Olympics,"Doubles, Mixed",Jennie Gai,=13,,Vinson Chiu,150973,USA,Badminton,
2024 Summer Olympics,"Doubles, Men",Joshua Yuan,17,,Vinson Chiu,150973,USA,Badminton,
2024 Summer Olympics,"Doubles, Men",Vinson Chiu,17,,Joshua Yuan,150972,USA,Badminton,
2024 Summer Olympics,"Singles, Women",,=9,,Beiwen Zhang,147142,USA,Badminton,
2024 Summer Olympics,"Doubles, Women",Kerry Xu,=13,,Annie Xu,150970,USA,Badminton,
2024 Summer Olympics,"Doubles, Women",Annie Xu,=13,,Kerry Xu,150971,USA,Badminton,
2024 Summer Olympics,"Doubles, Mixed",Vinson Chiu,=13,,Jennie Gai,2506192,USA,Badminton,
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Steph Curry,150906,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Anthony Edwards,150899,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,LeBron James,108546,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Kevin Durant,126091,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Derrick White,150905,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Tyrese Haliburton,150907,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Jayson Tatum,147363,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Joel Embiid,150903,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Jrue Holiday,147364,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Bam Adebayo,147361,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Anthony Davis,127080,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Men",United States,1,Gold,Devin Booker,147360,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Jewell Loyd,147140,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Kelsey Plum,147144,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Sabrina Ionescu,150898,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Kahleah Copper,150896,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Chelsea Gray,147139,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,A'ja Wilson,147137,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Breanna Stewart,132055,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Napheesa Collier,2102731,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Diana Taurasi,103097,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Jackie Young,147647,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Alyssa Thomas,150892,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Basketball, Women",United States,1,Gold,Brittney Griner,132056,USA,Basketball ( Basketball ),
2024 Summer Olympics,"Beach Volleyball, Men",Miles Partain,=5,,Andy Benesh,155374,USA,Beach Volleyball ( Volleyball ),
2024 Summer Olympics,"Beach Volleyball, Men",Andy Benesh,=5,,Miles Partain,155379,USA,Beach Volleyball ( Volleyball ),
