Games,Event,Team,Pos,Medal,As,athlete_id,NOC,Discipline,Nationality,Unnamed: 7
2008 Summer Olympics,"Individual Time Trial, Men (Olympic)",,3,Bronze,Levi Leipheimer,103648,USA,Cycling Road (Cycling),,
2004 Summer Olympics,"Running Target, 10 metres, Men (Olympic)",,18.0,,Koby Holland,104845,USA,Shooting,,
2006 Winter Olympics,"Team, Men (Olympic)",France,5.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2006 Winter Olympics,"Individual, Men (Olympic)",,11.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2006 Winter Olympics,"Sprint, Men (Olympic)",,4.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2010 Winter Olympics,"Normal Hill / 10 km, Individual, Men (Olympic)",,1.0,Gold,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2010 Winter Olympics,"Large Hill / 10 km, Individual, Men (Olympic)",,18.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2010 Winter Olympics,"Team, Men (Olympic)",France,4.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2014 Winter Olympics,"Normal Hill / 10 km, Individual, Men (Olympic)",,35.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2014 Winter Olympics,"Large Hill / 10 km, Individual, Men (Olympic)",,7.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2014 Winter Olympics,"Team, Men (Olympic)",France,4.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2018 Winter Olympics,"Normal Hill / 10 km, Individual, Men (Olympic)",,31.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2018 Winter Olympics,"Large Hill / 10 km, Individual, Men (Olympic)",,30.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2018 Winter Olympics,"Team, Men (Olympic)",France,5.0,,Jason Lamy-Chappuis,109612,FRA,Nordic Combined (Skiing),,
2008 Summer Olympics,"Pole Vault, Women (Olympic)",,=32 r1/2,,Leila Ben Youssef,114795,TUN,Athletics,,
2008 Summer Olympics,"5,000 metres, Men (Olympic)",,9 h2 r1/2,,Ian Dobson,115347,USA,Athletics,,
2008 Summer Olympics,"Duet, Women (Olympic)",Andrea Nott,5.0,,Christina Jones,116102,USA,Artistic Swimming (Aquatics),,
2008 Summer Olympics,"Team, Women (Olympic)",United States,5.0,,Christina Jones,116102,USA,Artistic Swimming (Aquatics),,
2008 Summer Olympics,"Lightweight, Freestyle, Men (Olympic)",,18.0,,Mike Zadick,117062,USA,Wrestling,,
2010 Winter Olympics,"Moguls, Men (Olympic)",,3.0,Bronze,Bryon Wilson,118953,USA,Freestyle Skiing (Skiing),,
2010 Winter Olympics,"Moguls, Women (Olympic)",,18.0,,Heather McPhie,118976,USA,Freestyle Skiing (Skiing),,
2014 Winter Olympics,"Moguls, Women (Olympic)",,13.0,,Heather McPhie,118976,USA,Freestyle Skiing (Skiing),,
2012 Summer Olympics,"Cross-Country, Men (Olympic)",,15.0,,Sam Schultz,126547,USA,Cycling Mountain Bike (Cycling),,
2012 Summer Olympics,"Free Pistol, 50 metres, Men (Olympic)",,15.0,,Nick Mowrer,126590,USA,Shooting,,
2020 Summer Olympics,"Air Pistol, 10 metres, Men (Olympic)",,13.0,,Nick Mowrer,126590,USA,Shooting,,
2020 Summer Olympics,"Air Pistol, 10 metres, Team, Mixed (Olympic)",Alexis Lagan,16.0,,Nick Mowrer,126590,USA,Shooting,,
2020 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",,26.0,,Nick Mowrer,126590,USA,Shooting,,
2014 Winter Olympics,"Moguls, Men (Olympic)",,20.0,,Brad Wilson,128714,USA,Freestyle Skiing (Skiing),,
2018 Winter Olympics,"Moguls, Men (Olympic)",,18.0,,Brad Wilson,128714,USA,Freestyle Skiing (Skiing),,
2022 Winter Olympics,"Moguls, Men (Olympic)",,25.0,,Brad Wilson,128714,USA,Freestyle Skiing (Skiing),,
2016 Summer Olympics,"100 metres Breaststroke, Men (Olympic)",,3.0,Bronze,Cody Miller,136357,USA,Swimming (Aquatics),,
2016 Summer Olympics,"4 × 100 metres Medley Relay, Men (Olympic)",United States,1.0,Gold,Cody Miller,136357,USA,Swimming (Aquatics),,
2018 Winter Olympics,"Slopestyle, Women (Olympic)",,17.0,,Darian Stevens,138291,USA,Freestyle Skiing (Skiing),,
2022 Winter Olympics,"Slopestyle, Women (Olympic)",,18.0,,Darian Stevens,138291,USA,Freestyle Skiing (Skiing),,
2022 Winter Olympics,"Big Air, Women (Olympic)",,11.0,,Darian Stevens,138291,USA,Freestyle Skiing (Skiing),,
2018 Winter Olympics,"Slopestyle, Women (Olympic)",,4.0,,Maggie Voisin,138292,USA,Freestyle Skiing (Skiing),,
2022 Winter Olympics,"Slopestyle, Women (Olympic)",,5.0,,Maggie Voisin,138292,USA,Freestyle Skiing (Skiing),,
2022 Winter Olympics,"Big Air, Women (Olympic)",,15.0,,Maggie Voisin,138292,USA,Freestyle Skiing (Skiing),,
2022 Winter Olympics,"Ice Dancing, Mixed (Olympic)",Misato Komatsubara,22 r1/2,,Tim Koleto,148538,JPN,Figure Skating (Skating),,
2022 Winter Olympics,"Team, Mixed (Olympic)",Japan,3,Bronze,Tim Koleto,148538,JPN,Figure Skating (Skating),,
2024 Summer Olympics,"Air Rifle, 10 metres, Team, Mixed",Sagen Maddalena,18,,Ivan Roe,154240,USA,Shooting,,
2024 Summer Olympics,"Air Rifle, 10 metres, Men",,34,,Ivan Roe,154240,USA,Shooting,,
2024 Summer Olympics,"Small-Bore Rifle, Three Positions, 50 metres, Men",,20,,Ivan Roe,154240,USA,Shooting,,
2024 Summer Olympics,"100 metres Backstroke, Women",,3,Bronze,Katharine Berkoff,154786,USA,Swimming ( Aquatics ),,
2024 Summer Olympics,"4 × 100 metres Medley Relay, Women",United States,1,Gold,Katharine Berkoff,154786,USA,Swimming ( Aquatics ),,
2026 Winter Olympics,"Slopestyle, Men",,9,,Konnor Ralph,157273,USA,Freestyle Skiing ( Skiing ),,
2026 Winter Olympics,"Big Air, Men",,5,,Konnor Ralph,157273,USA,Freestyle Skiing ( Skiing ),,
