Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"James Patrick ""Jim""•Curran",Jim•Curran,"16 August 1958 in Stamford, Connecticut (USA)",,United States,84939,,,,,,,,
Competed in Olympic Games,Male,"Walter Ten Eyck ""Ty""•Danco",Ty•Danco,"20 October 1955 in New Haven, Connecticut (USA)",,United States,85003,175 cm / 73 kg,LFF Rodel Club,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,"Franklin ""Frank""•Farrel, III","Frank•Farrel, III","23 March 1908 in Ansonia, Connecticut (USA)","2 July 2003 in North Branford, Connecticut (USA)",United States,85625,168 cm / 71 kg,"Yale Bulldogs, New Haven (USA)",Tot,,,,,
Competed in Olympic Games,Male,Donald Edward•Geary,Donald•Geary,"10 July 1926 in Hamden, Connecticut (USA)","22 July 2015 in Stuart, Florida (USA)",United States,85992,,,,,,,,
Competed in Olympic Games,Male,Jennison•Heaton,Jennison•Heaton,"16 April 1904 in New Haven, Connecticut (USA)","6 August 1971 in Burlingame, California (USA)",United States,86530,,,,,,,,
Competed in Olympic Games • Other,Male,"John Rutherford ""Jack""•Heaton",Jack•Heaton,"8 September 1908 in New Haven, Connecticut (USA)","10 September 1976 in Paris VIIIe, Paris (FRA)",United States,86531,,,,,,,,
Competed in Olympic Games,Male,Craig Harlan•Janney,Craig•Janney,"26 September 1967 in Hartford, Connecticut (USA)",,United States,87467,185 cm / 89 kg,"Boston College Eagles, Chestnut Hill (USA)",,,,,,
Competed in Olympic Games,Male,"Andrew M. ""Andy""•Bloom",Andy•Bloom,"11 August 1973 in Stamford, Connecticut (USA)",,United States,89100,185 cm / 125 kg,"Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Male,"Matthew ""Matt""•Martin",Matt•Martin,"30 April 1971 in Hamden, Connecticut (USA)",,United States,92173,193 cm / 95 kg,"Maine Black Bears, Orono, Maine (USA) / Toronto Maple Leafs, Toronto (CAN)",,,,,,
Competed in Olympic Games,Male,Brandan Allan•Greczkowski,Brandan•Greczkowski,"18 July 1977 in Putnam, Connecticut (USA)",,United States,92445,170 cm / 60 kg,"Olympic Training Center, Colorado Springs",,,,,,
Competed in Olympic Games,Female,Christine•Collins (Smith-),Christine•Collins,"9 September 1969 in Darien, Connecticut (USA)",,United States,92714,170 cm / 58 kg,"Trinity Boat Club, Cambridge (GBR)",,,,,,
Competed in Olympic Games,Male,Conal P.•Groom,Conal•Groom,"16 May 1973 in New Haven, Connecticut (USA)",,United States,92719,185 cm / 73 kg,"Potomac BC, Washington (USA)",,,,,,
Competed in Olympic Games,Male,"Robert Patrick ""Bob""•McVey",Bob•McVey,"14 March 1936 in Hartford, Connecticut (USA)",,United States,95336,190 cm / 96 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
Competed in Olympic Games,Male,"Dexter Terrance ""Terry""•Morse",Terry•Morse,"15 September 1946 in Bridgeport, Connecticut (USA)",,United States,95592,188 cm / 77 kg,"US Army, (USA)",,,,,,
