Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Bryce•Hunt,Bryce•Hunt,"7 July 1982 in Newburgh, Indiana (USA)",,United States,103753,188 cm / 77 kg,Auburn Aquatics,,,,,,
Competed in Olympic Games,Male,"Daniel ""Dan""•Beery",Dan•Beery,"4 January 1975 in Vincennes, Indiana (USA)",,United States,104503,200 cm / 97 kg,"Penn AC, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Female,Anita•Allen,Anita•Allen,"10 September 1977 in Star City, Indiana (USA)",,United States,107434,160 cm / 58 kg,,,,,,,
Competed in Olympic Games,Male,Mark•Hazinski,Mark•Hazinski,"20 April 1985 in Mishawaka, Indiana (USA)",,United States,107526,193 cm / 90 kg,,,,,,,
Competed in Olympic Games,Male,Michael•Marchesano,Michael•Marchesano,"23 September 1975 in Fort Wayne, Indiana (USA)",,Italy,108355,185 cm / 90 kg,"Rimini Baseball Club, Rimini (ITA)",,,,,,
Competed in Olympic Games,Female,Ileana•Moschou,Ileana•Moschou,"14 November 1976 in Indianapolis, Indiana (USA)",,Greece,108596,175 cm / 62 kg,"California Storm, Sacramento (USA)",,,,,Ιλεάνα•Μόσχου,
Competed in Olympic Games,Male,John-Michael•Liles,John-Michael•Liles,"25 November 1980 in Zionsville, Indiana (USA)",,United States,110632,178 cm / 84 kg,"Colorado Avalanche, Denver (USA)",,,,,,
Competed in Olympic Games,Female,Lauren Nicole•Cheney (-Holiday),Lauren•Cheney,"30 September 1987 in Indianapolis, Indiana (USA)",,United States,113700,173 cm / 70 kg,"UCLA Bruins, Los Angeles (USA) / unattached, (MIX)",,,,,,
Competed in Olympic Games,Female,Amy•Yoder Begley,Amy•Yoder Begley,"11 January 1978 in Goshen, Indiana (USA)",,United States,114507,163 cm / 51 kg,Nike - Oregon Project,,,,,,
Competed in Olympic Games,Male,David•Neville,David•Neville,"1 June 1984 in Merrillville, Indiana (USA)",,United States,114988,193 cm / 77 kg,Nike / HSI,,,,,,
Competed in Olympic Games,Female,Mary Beth•Dunnichay,Mary Beth•Dunnichay,"25 February 1993 in Anderson, Indiana (USA)",,United States,116034,152 cm / 45 kg,,,,,,,
Competed in Olympic Games,Male,Thomas•Finchum,Thomas•Finchum,"1 December 1989 in Beach Grove, Indiana (USA)",,United States,116066,185 cm / 68 kg,,,,,,,
Competed in Olympic Games,Female,Samantha Nicole•Peszek,Samantha•Peszek,"14 December 1991 in Indianapolis, Indiana (USA)",,United States,117651,152 cm / 50 kg,DeVeaus School of Gymnastics,,,,,,
Competed in Olympic Games,Male,"John Joseph Louis ""Jack""•Johnson, III",Jack•Johnson,"13 January 1987 in Indianapolis, Indiana (USA)",,United States,119223,183 cm / 100 kg,"Los Angeles Kings, Los Angeles (USA)",,,,,,
Competed in Olympic Games,Female,Morgan•Uceny,Morgan•Uceny,"10 March 1985 in Plymouth, Indiana (USA)",,United States,126789,168 cm / 50 kg,"Mammoth Track Club, Mammoth Lakes (USA)",,,,,,
Competed in Olympic Games,Female,Farida Hisham Ahmed•Osman,Farida•Osman,"18 January 1995 in Indianapolis, Indiana (USA)",,Egypt,127175,173 cm / 58 kg,"Gezira Sporting Club, Al-Qahira (EGY)",,,,,فريدة هشام•عثمان,
Competed in Olympic Games,Male,"Nicholas ""Nick""•Goepper",Nick•Goepper,"14 March 1994 in Fort Wayne, Indiana (USA)",,United States,128711,183 cm / 73 kg,,,,,,,
