Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,"Kimberly Ann ""Kim""•Gallagher",Kim•Gallagher,"11 June 1964 in Philadelphia, Pennsylvania (USA)","18 November 2002 in Oreland, Pennsylvania (USA)",United States,77838,165 cm / 47 kg,Puma and Energizer Track Club/Los Angeles Track Club,,,,,,
Competed in Olympic Games,Female,"Catherine Louise ""Cathy""•Hamblin",Cathy•Hamblin,"6 January 1953 in Pittsburgh, Pennsylvania (USA)",,United States,77853,164 cm / 51 kg,Jackson High School,,,,,,
Competed in Olympic Games,Female,"Frances Theresa•Kaszubski (Sobczak-, Gorn-)",Frances•Kaszubski,"15 May 1916 in Donora, Pennsylvania (USA)","11 April 2010 in Berea, Ohio (USA)",United States,77885,180 cm / 75 kg,North Olmsted-Westlake Athletic Club,,,,,,
Competed in Olympic Games,Female,Donna Lee•Mayhew,Donna•Mayhew,"20 June 1960 in Dupont, Pennsylvania (USA)",,United States,77909,160 cm / 70 kg,"South Bay Track Club, Torrance (USA) / Nike Coast Track Club, (USA)",,,,,,
Competed in Olympic Games,Female,Amy Lynn•Rudolph (-Carroll),Amy•Rudolph,"18 September 1973 in Ridgway, Pennsylvania (USA)",,United States,77957,176 cm / 55 kg,Reebok,,,,,,
Competed in Olympic Games,Female,Jean Marie•Shiley (-Newhouse),Jean•Shiley,"20 November 1911 in Harrisburg, Pennsylvania (USA)","11 March 1998 in Los Angeles, California (USA)",United States,77967,172 cm / 61 kg,"Haverford HS, Haverford (USA) / Meadowbrook Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Female,"Anne Rochelle ""Shelly""•Steely (-Ramirez)",Shelly•Steely,"23 October 1962 in Reading, Pennsylvania (USA)",,United States,77975,170 cm / 55 kg,"Mizuno Track Club, Osaka (JPN)",,,,,,
Competed in Olympic Games,Male,Lesley•Ashburner,Lesley•Ashburner,"21 October 1883 in Philadelphia, Pennsylvania (USA)","12 November 1950 in Bethesda, Maryland (USA)",United States,78049,,"Cornell Big Red, Ithaca (USA)",,,,,,
Competed in Olympic Games,Male,"Horace•Ashenfelter, III",Horace•Ashenfelter,"23 January 1923 in Phoenixville, Pennsylvania (USA)","6 January 2018 in West Orange, New Jersey (USA)",United States,78050,178 cm / 66 kg,"NYAC, New York (USA)",Nip,,,,,
Competed in Olympic Games,Male,"William Nyman ""Bill""•Ashenfelter",Bill•Ashenfelter,"16 October 1924 in Collegeville, Pennsylvania (USA)","4 June 2010 in West Chester, Pennsylvania (USA)",United States,78051,185 cm / 68 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,"Harold Earl ""Hal""•Barron",Hal•Barron,"29 August 1894 in Berwyn, Pennsylvania (USA)","5 October 1978 in San Francisco, California (USA)",United States,78082,183 cm / 64 kg,"Meadowbrook Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Alfred Hilborn ""Al""•Bates",Al•Bates,"24 April 1905 in Philadelphia, Pennsylvania (USA)","9 June 1999 in Philadelphia, Pennsylvania (USA)",United States,78087,183 cm / 70 kg,"Penn State Nittany Lions, State College (USA)",,,,,,
Competed in Olympic Games,Male,"Bernard Ernst ""Barney""•Berlinger",Barney•Berlinger,"13 March 1908 in Philadelphia, Pennsylvania (USA)","2 December 2002 in Carversville, Pennsylvania (USA)",United States,78106,186 cm / 91 kg,"Penn Quakers, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,Jervis Watson•Burdick,Jervis•Burdick,"8 March 1889 in Philadelphia, Pennsylvania (USA)","11 November 1962 in Bryn Mawr, Pennsylvania (USA)",United States,78173,183 cm / 68 kg,"Pittsburgh AA, Pittsburgh (USA)",,,,,,
Competed in Olympic Games,Male,Leroy Russell•Burrell,Leroy•Burrell,"21 February 1967 in Philadelphia, Pennsylvania (USA)",,United States,78178,183 cm / 82 kg,"Santa Monica Track Club, Santa Monica (USA)",,,,,,
Competed in Olympic Games,Male,"Albert Anthony ""Al""•Cantello",Al•Cantello,"9 June 1931 in Norristown, Pennsylvania (USA)",,United States,78195,171 cm / 74 kg,"US Marine Corps, (USA)",,,,,,
Competed in Olympic Games,Male,Meredith Bright•Colket,Meredith•Colket,"19 November 1878 in Philadelphia, Pennsylvania (USA)","7 June 1947 in Bryn Mawr, Pennsylvania (USA)",United States,78247,,"Penn Quakers, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Nicholas ""Nick""•Costes",Nick•Costes,"3 August 1926 in Farrell, Pennsylvania (USA)","24 March 2003 in Lexington, Kentucky (USA)",United States,78267,167 cm / 55 kg,,,,,,,
Competed in Olympic Games,Male,"Joshua ""Josh""•Culbreath",Josh•Culbreath,"14 September 1932 in Norristown, Pennsylvania (USA)","1 July 2021 in Cincinnati, Ohio (USA)",United States,78284,170 cm / 62 kg,"US Marine Corps, (USA)",,,,,,
Competed in Olympic Games,Male,Ira Sylvester•Davis,Ira•Davis,"25 September 1936 in Philadelphia, Pennsylvania (USA)",,United States,78298,183 cm / 72 kg,"Philadelphia Pioneer Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Daniel Ely ""Dan""•Dean",Dan•Dean,"3 January 1909 in Williamsport, Pennsylvania (USA)","13 September 2004 in Naples, Florida (USA)",United States,78310,179 cm / 66 kg,"Penn Quakers, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,John Michael•Deni,John•Deni,"8 May 1903 in Philadelphia, Pennsylvania (USA)","4 February 1978 in Pittsburgh, Pennsylvania (USA)",United States,78318,178 cm / 77 kg,Pittsburgh Boys Club,,,,,,
Competed in Olympic Games,Male,"Herbert Paul ""Herb""•Douglas, Jr.",Herb•Douglas,"9 March 1922 in Pittsburgh, Pennsylvania (USA)","22 April 2023 in Pittsburgh, Pennsylvania (USA)",United States,78334,175 cm / 67 kg,"Pittsburgh Panthers, Pittsburgh (USA)",,,,,,
Competed in Olympic Games,Male,Walter Edwin•Drumheller,Walter•Drumheller,"9 November 1878 in Sunbury, Pennsylvania (USA)","18 May 1958 in Sunbury, Pennsylvania (USA)",United States,78343,,"Penn Quakers, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"Jonathan A. ""Jon""•Drummond",Jon•Drummond,"9 September 1968 in Philadelphia, Pennsylvania (USA)",,United States,78344,175 cm / 75 kg,Nike / HSI,,,,,,
Competed in Olympic Games,Male,"Schuyler Colfax ""Sky""•Enck",Sky•Enck,"25 January 1900 in Columbia, Pennsylvania (USA)","1 November 1970 in Harrisburg, Pennsylvania (USA)",United States,78372,178 cm / 73 kg,"Penn State Nittany Lions, State College (USA)",,,,,,
Competed in Olympic Games,Male,"Henry Norwood ""Barney""•Ewell",Barney•Ewell,"25 February 1918 in Harrisburg, Pennsylvania (USA)","4 April 1996 in Lancaster, Pennsylvania (USA)",United States,78384,180 cm / 71 kg,,,,,,,
Competed in Olympic Games,Male,"Victor Henry ""Vic""•Frank, Jr.",Vic•Frank,"4 April 1927 in Philadelphia, Pennsylvania (USA)","6 April 2010 in Englewood, New Jersey (USA)",United States,78416,183 cm / 90 kg,"Yale Bulldogs, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,Herman Ronald•Frazier,Herman•Frazier,"29 October 1954 in Philadelphia, Pennsylvania (USA)",,United States,78417,184 cm / 73 kg,"Philadelphia Pioneer Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,"William Howard ""Bill""•Fritz, Jr.",Bill•Fritz,"22 March 1892 in Berwyn, Pennsylvania (USA)","28 December 1941 in Wayne, Pennsylvania (USA)",United States,78425,183 cm / 75 kg,"Cornell Big Red, Ithaca (USA)",,,,,,
Competed in Olympic Games,Male,"John James•Gallagher, Jr.",John•Gallagher,"13 April 1890 in Philadelphia, Pennsylvania (USA)","13 May 1950 in Chicago, Illinois (USA)",United States,78434,168 cm / 57 kg,"Yale Bulldogs, New Haven (USA)",,,,,,
Competed in Olympic Games,Male,John Joseph•Gray,John•Gray,"24 December 1894 in Manayunk, Philadelphia, Pennsylvania (USA)","12 June 1942 in Philadelphia, Pennsylvania (USA)",United States,78473,170 cm / 57 kg,"Enterprise C. Y. M. A. U., Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,John William•Grieb,John•Grieb,"19 November 1879 in Philadelphia, Pennsylvania (USA)","10 December 1939 in Philadelphia, Pennsylvania (USA)",United States,78482,175 cm,"Philadelphia Turngemeinde, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Male,George James•Guida,George•Guida,"29 August 1924 in Philadelphia, Pennsylvania (USA)","7 September 2015 in San Francisco, California (USA)",United States,78486,175 cm / 73 kg,"Villanova Wildcats, Villanova (USA)",,,,,,
Competed in Olympic Games,Male,"Anthony ""Tony""•Hall",Tony•Hall,"17 March 1950 in Philadelphia, Pennsylvania (USA)",,United States,78498,190 cm / 102 kg,Bruce Track Club,,,,,,
