Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Kurt Harold•Ainsworth,Kurt•Ainsworth,"9 September 1978 in Baton Rouge, Louisiana (USA)",,United States,89731,187 cm / 84 kg,"Shreveport SwampDragons, Shreveport (USA)",,,,,,
Competed in Olympic Games,Male,Ben M.•Sheets,Ben•Sheets,"18 July 1978 in Baton Rouge, Louisiana (USA)",,United States,89749,182 cm / 88 kg,Huntsville Stars,,,,,,
Competed in Olympic Games,Female,Elizabeth Patricia•Gómez Randall,Elizabeth•Gómez,"21 September 1981 in Galliano, Louisiana (USA)",,Mexico,103016,173 cm / 64 kg,"Miami Hurricanes, Coral Gables (USA)",,,,,,
Competed in Olympic Games,Female,Marie•Mijalis,Marie•Mijalis,"1 February 1981 in Shreveport, Louisiana (USA)",,United States,105154,167 cm / 65 kg,,,,,,,
Competed in Olympic Games,Male,Daniel Ilfrey•Lincoln,Daniel•Lincoln,"22 October 1980 in Ruston, Louisiana (USA)",,United States,105726,188 cm / 69 kg,"Arkansas Razorbacks, Fayetteville (USA) / Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Female,Carly Rae•Patterson (-Caldwell),Carly•Patterson,"4 February 1988 in Baton Rouge, Louisiana (USA)",,United States,107150,152 cm / 44 kg,World Olympic Gymnastics Academy,,,,,,
Competed in Olympic Games,Female,Chanda•Rubin,Chanda•Rubin,"18 February 1976 in Lafayette, Louisiana (USA)",,United States,107314,167 cm / 61 kg,,,,,,,
Competed in Olympic Games,Male,Caesar•Garcia,Caesar•Garcia,"13 November 1981 in Baton Rouge, Louisiana (USA)",,United States,107974,180 cm / 77 kg,"Auburn Tigers, Auburn, Alabama (USA)",,,,,,
Competed in Olympic Games,Male,Daniel Ryan•Cormier,Daniel•Cormier,"20 March 1979 in Lafayette, Louisiana (USA)",,United States,108071,180 cm / 96 kg,"Gator Wrestling Club, Chico (USA)",,,,,,
Competed in Olympic Games,Male,John•Moffitt,John•Moffitt,"12 December 1980 in Winnsboro, Louisiana (USA)",,United States,109529,185 cm / 78 kg,"LSU Tigers, Baton Rouge (USA) / Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Female,Seimone Delicia•Augustus,Seimone•Augustus,"30 April 1984 in Baton Rouge, Louisiana (USA)",,United States,111848,183 cm / 74 kg,"Minnesota Lynx, Minneapolis (USA)",,,,,,
Competed in Olympic Games,Female,Kim Marie•Willoughby,Kim•Willoughby,"7 November 1980 in Houma, Louisiana (USA)",,United States,112149,178 cm / 75 kg,"Chieri Volley, Chieri (ITA)",,,,,,
Competed in Olympic Games,Female,Diana Lynn•Pickler,Diana•Pickler,"9 December 1983 in Shreveport, Louisiana (USA)",,United States,114389,178 cm / 60 kg,Asics,,,,,,
Competed in Olympic Games,Male,"Scott•Spann, Jr.",Scott•Spann,"11 May 1988 in New Orleans, Louisiana (USA)",,United States,115802,185 cm / 86 kg,"Texas Longhorns, Austin (USA)",,,,,,
Competed in Olympic Games,Male,Kendrick James•Farris,Kendrick•Farris,"2 July 1986 in Shreveport, Louisiana (USA)",,United States,116382,168 cm / 94 kg,,,,,,,
Competed in Olympic Games,Female,Erin•Blanchard,Erin•Blanchard,"20 November 1989 in Lafayette, Louisiana (USA)",,United States,116819,168 cm / 56 kg,"Trampoline and Tumbling Express gym, Lafayette / US Olympic Training Centre",,,,,,
Competed in Olympic Games,Male,Brian•Johnson,Brian•Johnson,"5 March 1980 in Iowa, Louisiana (USA)",,United States,116917,196 cm / 91 kg,Nike / HSI,,,,,,
Competed in Olympic Games,Male,"John•Dane, III","John•Dane, III","15 July 1950 in New Orleans, Louisiana (USA)",,United States,117905,191 cm / 99 kg,Pass Christian Yacht Club,,,,,,
Competed in Olympic Games • Competed in Youth Olympic Games,Female,Savannah•Vinsant,Savannah•Vinsant,"25 June 1993 in Lafayette, Louisiana (USA)",,United States,126521,160 cm / 55 kg,,Bannie,,,,,
Competed in Olympic Games,Male,Ryan•Harrison,Ryan•Harrison,"7 May 1992 in Shreveport, Louisiana (USA)",,United States,126770,183 cm / 82 kg,,Harry,,,,,
Competed in Olympic Games,Female,Chelsea Alicia•Hayes,Chelsea•Hayes,"9 February 1988 in New Orleans, Louisiana (USA)",,United States,127100,152 cm / 58 kg,"Louisiana Tech Lady Techsters, Ruston (USA)",,,,,,
Competed in Olympic Games,Female,Chrishuna•Williams,Chrishuna•Williams,"31 March 1993 in Bossier City, Louisiana (USA)",,United States,132021,160 cm / 55 kg,"Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Male,Lucas•Kozeniesky,Lucas•Kozeniesky,"31 May 1995 in Metairie, Louisiana (USA)",,United States,136350,180 cm / 80 kg,"NC State Wolfpack, Raleigh (USA)",,,,,,
Competed in Olympic Games,Male,Jeremy•Bleich,Jeremy•Bleich,"18 June 1987 in Metairie, Louisiana (USA)",,Israel,143969,188 cm,,,,,,,
Competed in Olympic Games,Male,"Armand Gustav ""Mondo""•Duplantis",Mondo•Duplantis,"10 November 1999 in Lafayette, Louisiana (USA)",,Sweden,146747,,"Upsala IF, Uppsala (SWE)",,,,,,
Competed in Olympic Games,Male,Vernon Larnard•Norwood,Vernon•Norwood,"10 April 1992 in New Orleans, Louisiana (USA)",,United States,147355,188 cm / 73 kg,,,,,,,
Competed in Olympic Games,Female,Kristen•Nuss,Kristen•Nuss,"16 December 1997 in New Orleans, Louisiana (USA)",,United States,155370,,Louisiana State University,,,,,,
