Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"Chadwick Michael ""Chad""•McConnell",Chad•McConnell,"13 October 1970 in Sioux Falls, South Dakota (USA)",,United States,3244,185 cm / 82 kg,"Creighton Bluejays, Omaha (USA)",,,,,,
Competed in Olympic Games,Male,John Thomas•O'Neil,John•O'Neil,"4 October 1898 in Faulkton, South Dakota (USA)","25 March 1950 in Los Angeles, California (USA)",United States,18250,177 cm / 80 kg,"Santa Clara Broncos, Santa Clara (USA)",,,,,,
Competed in Olympic Games,Male,"Laurence A. ""Larry""•Knapp",Larry•Knapp,"30 May 1905 in Garden City, South Dakota (USA)","8 November 1976 in Washington, District of Columbia (USA)",United States,20407,,Westchester Field Hockey Club,,,,,,
Competed in Olympic Games,Male,"Orlando E. ""Orly""•Fuentes",Orly•Fuentes,"19 November 1974 in Ellsworth Air Force Base, South Dakota (USA)",,United States,33749,65 kg,"Olympic Training Center, Colorado Springs",,,,,,
Competed in Olympic Games,Male,Darrell Lynn•Vreugdenhil,Darrell•Vreugdenhil,"23 April 1949 in Mitchell, South Dakota (USA)",,United States,40918,191 cm / 91 kg,"Vesper Boat Club, Philadelphia (USA)",,,,,,
Competed in Olympic Games,Female,"Christine M. ""Crissy""•Ahmann-Leighton (-Perham)",Crissy•Ahmann-Leighton,"20 May 1970 in Yankton, South Dakota (USA)",,United States,50949,172 cm / 52 kg,,,,,,,
Competed in Olympic Games,Male,Charles Harold•McCallister,Harold•McCallister,"14 October 1903 in Madison, South Dakota (USA)","22 October 1997 in San Marino, California (USA)",United States,54948,,"LAAC, Los Angeles (USA)",Dutch,,,,,
Competed in Olympic Games,Male,Dennis Marwin•Koslowski,Dennis•Koslowski,"16 August 1959 in Watertown, South Dakota (USA)",,United States,60680,183 cm / 100 kg,,,,,,,
Competed in Olympic Games,Male,Duane Edward•Koslowski,Duane•Koslowski,"16 August 1959 in Watertown, South Dakota (USA)",,United States,60681,180 cm / 130 kg,,,,,,,
Competed in Olympic Games,Male,"Randall Scott ""Randy""•Lewis",Randy•Lewis,"7 June 1959 in Milbank, South Dakota (USA)",,United States,60692,173 cm / 64 kg,"Hawkeye Wrestling Club, Tulare (USA)",,,,,,
Competed in Olympic Games,Male,"James Edwin ""Jim""•Scherr",Jim•Scherr,"27 July 1961 in Eureka, South Dakota (USA)",,United States,60755,183 cm / 95 kg,,,,,,,
Competed in Olympic Games,Male,"William Harold ""Bill""•Scherr",Bill•Scherr,"27 July 1961 in Eureka, South Dakota (USA)",,United States,60756,183 cm / 100 kg,,,,,,,
Competed in Olympic Games,Male,"James Aloysius Bernard ""Jim""•Bausch",Jim•Bausch,"28 March 1906 in Marion Junction, South Dakota (USA)","9 July 1974 in Hot Springs, Arkansas (USA)",United States,78089,188 cm / 95 kg,"KCAC, Kansas City (USA)",,,,,,
Competed in Olympic Games,Male,Ivan Chandler•Dresser,Ivan•Dresser,"3 July 1896 in Flandreau, South Dakota (USA)","27 December 1956 in New York, New York (USA)",United States,78338,180 cm / 68 kg,"NYAC, New York (USA)",,,,,,
Competed in Olympic Games,Male,Samuel Glenn•Hartranft,Glenn•Hartranft,"3 December 1901 in Aberdeen, South Dakota (USA)","12 August 1970 in San Diego, California (USA)",United States,78524,190 cm / 115 kg,"Stanford Cardinal, Stanford (USA)",Tiny,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Clare Stephen•Jacobs,Clare•Jacobs,"18 February 1886 in Madison, South Dakota (USA)","21 February 1971 in Detroit, Michigan (USA)",United States,78593,178 cm / 64 kg,"Chicago Maroons, Chicago (USA)",,,,,,
Competed in Olympic Games,Male,"William Mervin ""Billy""•Mills",Billy•Mills,"30 June 1938 in Pine Ridge, South Dakota (USA)",,United States,78795,180 cm / 68 kg,"US Marine Corps, (USA)",,,Tamakoce Te’Hila,,,
Competed in Olympic Games,Male,Wilbur Marvin•Thompson,Wilbur•Thompson,"6 April 1921 in Frankfort, South Dakota (USA)","25 December 2013 in Long Beach, California (USA)",United States,79124,183 cm / 89 kg,"LAAC, Los Angeles (USA)",Moose,,,,,
