Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Amanda Jo•Weir (-Davis),Amanda•Weir,"11 March 1986 in Davenport, Iowa (USA)",,United States,103280,188 cm / 77 kg,"Georgia Bulldogs, Athens (USA)",Hollywood,,,,,
Competed in Olympic Games,Female,Christine•Thorburn,Christine•Thorburn,"17 September 1969 in Davenport, Iowa (USA)",,United States,103699,163 cm / 56 kg,Webcor Builders Cycling Team,,,,,,
Competed in Olympic Games,Male,"Alfred George ""A. G.""•Kruger",A. G.•Kruger,"18 February 1979 in Sheldon, Iowa (USA)",,United States,105557,193 cm / 125 kg,"Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Male,Cory Antony•Harris,Cory•Harris,"7 December 1979 in Davenport, Iowa (USA)",,Greece,108308,160 cm / 86 kg,"Delmarva Shorebirds, Salisbury (USA)",,,,,,
Competed in Olympic Games,Female,Nancy Jean•Metcalf (Meendering-),Nancy•Metcalf,"12 November 1978 in Sioux City, Iowa (USA)",,United States,109240,185 cm / 74 kg,"Sirio Perugia, Perugia (ITA)",,,,,,
Competed in Olympic Games,Female,"Jennifer Mae ""Jenny""•Barringer-Simpson",Jenny•Barringer-Simpson,"23 August 1986 in Webster City, Iowa (USA)",,United States,114446,166 cm / 53 kg,"Colorado Buffaloes, Boulder (USA)",,,,,,
Competed in Olympic Games,Female,"Lori Susan ""Lolo""•Jones",Lolo•Jones,"5 August 1982 in Des Moines, Iowa (USA)",,United States,114905,175 cm / 70 kg,Asics,Honey Badger,,,,,
Competed in Olympic Games,Male,"Douglas ""Doug""•Schwab",Doug•Schwab,"3 August 1977 in Osage, Iowa (USA)",,United States,117071,165 cm / 66 kg,"Gator Wrestling Club, Chico (USA)",,,,,,
Competed in Olympic Games,Male,Ben•Askren,Ben•Askren,"18 July 1984 in Cedar Rapids, Iowa (USA)",,United States,117081,180 cm / 74 kg,"Sunkist Kids Wrestling Club, Scottsdale (USA)",,,,,,
Competed in Olympic Games,Female,Shawn Machel•Johnson (-East),Shawn•Johnson,"19 January 1992 in Des Moines, Iowa (USA)",,United States,117648,145 cm / 41 kg,Chows Gymnastics,,,,,,
Competed in Olympic Games,Female,Lisa•Uhl (Koll-),Lisa•Uhl,"31 August 1987 in Fort Dodge, Iowa (USA)",,United States,126518,163 cm / 50 kg,"Oregon Track Club, Eugene (USA)",,,,,,
Competed in Olympic Games • Competed in Youth Olympic Games,Female,Miranda•Leek (-Huerta),Miranda•Leek,"18 May 1993 in Des Moines, Iowa (USA)",,United States,126803,163 cm / 75 kg,,,,,,,
Competed in Olympic Games,Female,Shelby Christine Prince•Houlihan,Shelby•Houlihan,"8 February 1993 in Sioux City, Iowa (USA)",,United States,132048,160 cm / 54 kg,"Nike, Beaverton (USA)",,,,,,
Competed in Olympic Games,Female,Kayla•Banwarth,Kayla•Banwarth,"21 January 1989 in Dubuque, Iowa (USA)",,United States,132176,178 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,Harrison Bryce Jordan•Barnes,Harrison•Barnes,"30 May 1992 in Ames, Iowa (USA)",,United States,136275,203 cm / 102 kg,"Golden State Warriors, Oakland (USA)",,,,,,
Competed in Olympic Games,Male,Timothy•LeDuc,Timothy•LeDuc,"4 May 1990 in Cedar Rapids, Iowa (USA)",,United States,149113,,,,,,,,
Competed in Olympic Games,Female,Emily•Delleman,Emily•Delleman,"7 June 1998 in Davenport, Iowa (USA)",,United States,153856,,Stanford University,,,,,,
