state,per100kResidents
Alabama,1.2135
Alaska,1.5488
Arizona,1.2359
Arkansas,1.3032
California,4.0049
Colorado,1.9287
Connecticut,2.7699
Delaware,2.5614
Florida,1.2818
Georgia,1.3935
Hawaii,6.9102
Idaho,1.2121
Illinois,3.0318
Indiana,2.0204
Iowa,2.1993
Kansas,2.9441
Kentucky,1.2444
Louisiana,1.9191
Maine,1.882
Maryland,1.784
Massachusetts,3.864
Michigan,2.0539
Minnesota,2.3379
Mississippi,2.022
Missouri,2.5881
Montana,3.2342
Nebraska,2.4092
Nevada,0.9257
New Hampshire,2.2029
New Jersey,3.4236
New Mexico,1.5055
New York,3.8342
North Carolina,0.776
North Dakota,1.4868
Ohio,2.167
Oklahoma,2.2925
Oregon,2.7407
Pennsylvania,3.519
Rhode Island,3.5152
South Carolina,1.0378
South Dakota,2.8249
Tennessee,0.9139
Texas,1.4555
Utah,1.6281
Vermont,1.7579
Virginia,1.3873
Washington,2.885
West Virginia,1.0254
Wisconsin,2.0573
Wyoming,1.242
United States,2.3754
