state,per100kResidents
Alabama,0.1046
Alaska,5.0688
Arizona,0.0939
Arkansas,0.0343
California,0.4912
Colorado,2.2469
Connecticut,1.4269
Delaware,0.1114
Florida,0.1596
Georgia,0.0723
Hawaii,0.147
Idaho,1.6586
Illinois,0.8495
Indiana,0.2313
Iowa,0.2626
Kansas,0.0701
Kentucky,0.0691
Louisiana,0.0662
Maine,1.6562
Maryland,0.1732
Massachusetts,3.2378
Michigan,1.0826
Minnesota,4.6192
Mississippi,0.0337
Missouri,0.3173
Montana,2.5267
Nebraska,0.3833
Nevada,0.3703
New Hampshire,3.95
New Jersey,0.6142
New Mexico,0.3399
New York,1.414
North Carolina,0.1573
North Dakota,1.1894
Ohio,0.3641
Oklahoma,0.1599
Oregon,0.5481
Pennsylvania,0.3228
Rhode Island,1.7101
South Carolina,0.0432
South Dakota,0.2456
Tennessee,0.063
Texas,0.1034
Utah,1.6643
Vermont,8.47
Virginia,0.1125
Washington,0.7882
West Virginia,0.054
Wisconsin,1.354
Wyoming,1.4194
United States,0.673
