Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1948 Winter Olympics,Male,"Robert ""Bob""•Blatt, Jr.","Bob•Blatt, Jr.","3 November 1921 in Norfolk, Virginia (USA)","5 July 1994 in San Carlos, California (USA)",United States,84175,181 cm / 76 kg,"Stanford Cardinal, Stanford (USA)",,,,,,
1992 Winter Olympics,Male,Scott Joseph•Lachance,Scott•Lachance,"22 October 1972 in Charlottesville, Virginia (USA)",,United States,88797,188 cm / 93 kg,"Boston University Terriers, Boston (USA)",,,,,,
1936 Winter Olympics,Male,"Francis John ""Frank""•Shaughnessy, Jr.","Frank•Shaughnessy, Jr.","21 June 1911 in Roanoke, Virginia (USA)","12 June 1982 in Montréal, Québec (CAN)",United States,97471,180 cm / 81 kg,"Montréal Victorias, Montréal (CAN)",,,,,,
1972 Winter Olympics; 1980 Winter Olympics,Male,"Howard Banford•Siler, Jr.","Howard•Siler, Jr.","18 June 1945 in Newport News, Virginia (USA)","8 July 2014 in Clermont, Florida (USA)",United States,97535,183 cm / 91 kg,"Lake Placid BC, Lake Placid (USA)",,,,,,
1988 Winter Olympics,Male,Eric John•Weinrich,Eric•Weinrich,"19 December 1966 in Roanoke, Virginia (USA)",,United States,98873,185 cm / 93 kg,"Maine Black Bears, Orono, Maine (USA)",,,,,,
2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics; 2022 Winter Olympics,Female,Ashley•Caldwell,Ashley•Caldwell,"14 September 1993 in Ashburn, Virginia (USA)",,United States,118948,170 cm / 66 kg,,,,,,,
2018 Winter Olympics,Male,Garrett•Roe,Garrett•Roe,"22 February 1988 in Fairfax, Virginia (USA)",,United States,138339,175 cm / 81 kg,"EV Zug, Zug (SUI)",,,,,,
2026 Winter Olympics,Male,Ilia•Malinin,Ilia•Malinin,"2 December 2004 in Fairfax, Virginia (USA)",,United States,157277,,,,,,,,
2026 Winter Olympics,Male,Brandon•Kim,Brandon•Kim,"30 August 2001 in Fairfax, Virginia (USA)",,United States,157316,,,,,,,,
