Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1988 Winter Olympics,Male,Bradley Lane•MacDonald,Lane•MacDonald,"3 March 1966 in Tulsa, Oklahoma (USA)",,United States,95301,180 cm / 85 kg,"Harvard Crimson, Cambridge (USA)",,,,,,
1964 Winter Olympics,Male,"Robert Thomas ""Tom""•Neely",Tom•Neely,"15 May 1938 in Fort Sill, Oklahoma (USA)","15 January 2017 in Ketchum, Idaho (USA)",United States,95772,170 cm / 68 kg,"US Army, (USA)",,,,,,
1964 Winter Olympics,Male,"Ronnie D. ""Ron""•Walters",Ron•Walters,"28 May 1943 in Altus, Oklahoma (USA)",,United States,98805,185 cm / 73 kg,"US Army, (USA)",,,,,,
1998 Winter Olympics,Female,Stacey Jill•Blumer (-Evans),Stacey•Blumer,"11 December 1969 in Altus, Oklahoma (USA)",,United States,99824,162 cm / 56 kg,,,,,,,
2006 Winter Olympics,Female,Marcy•Hinzmann,Marcy•Hinzmann,"26 May 1982 in Norman, Oklahoma (USA)",,United States,109761,155 cm / 48 kg,"Detroit Skating Club, Bloomfield Hills (USA)",,,,,,
2022 Winter Olympics,Female,Mariah Cheyenne•Bell,Mariah•Bell,"18 April 1996 in Tulsa, Oklahoma (USA)",,United States,149107,,,,,,,,
