Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1960 Winter Olympics,Male,"Timothy Tuttle ""Tim""•Brown",Tim•Brown,"24 July 1938 in Loup City, Nebraska (USA)","14 September 1989 in San Francisco, California (USA)",United States,84405,,"St. Moritz Ski Club/University of California, Berkeley",,,,,,
1994 Winter Olympics; 1998 Winter Olympics,Male,Chad•Fleischer,Chad•Fleischer,"4 January 1972 in Columbus, Nebraska (USA)",,United States,85752,188 cm / 102 kg,"SSCV, Vail (USA)",,,,,,
1976 Winter Olympics,Male,"Robert Barton ""Rob""•Harris",Rob•Harris,"4 December 1953 in Omaha, Nebraska (USA)",,United States,86474,182 cm / 81 kg,"Minnesota Golden Gophers, Saint Paul (USA)",,,,,,
1968 Winter Olympics,Male,Adrian Lee•Watt,Adrian•Watt,"29 December 1947 in Omaha, Nebraska (USA)",,United States,98841,178 cm / 75 kg,"Duluth XC Ski Club, Duluth (USA)",,,,,,
1998 Winter Olympics,Male,Jason•Rosener,Jason•Rosener,"12 February 1975 in Omaha, Nebraska (USA)",,United States,99488,183 cm / 98 kg,Team Summit,,,,,,
2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics,Male,"Curtis Lee ""Curt""•Tomasevicz",Curt•Tomasevicz,"17 September 1980 in Shelby, Nebraska (USA)",,United States,110992,185 cm / 100 kg,"Nebraska Cornhuskers, Lincoln (USA)",,,,,,
2014 Winter Olympics,Female,Sugar Rashelle-Faye Chelsea•Todd,Sugar•Todd,"19 July 1990 in Omaha, Nebraska (USA)",,United States,128781,163 cm / 64 kg,,,,,,,
