Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1948 Winter Olympics,Male,"Gordon L. ""Gordy""•Wren",Gordy•Wren,"5 January 1919 in Steamboat Springs, Colorado (USA)","25 November 1999 in Steamboat Springs, Colorado (USA)",United States,99040,,Eskimo Ski Club,,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Male,"Ronald Paul ""Ronny""•Yeager",Ronny•Yeager,"16 August 1952 in Durango, Colorado (USA)",,United States,99106,181 cm / 70 kg,,,,,,,
1998 Winter Olympics; 2002 Winter Olympics,Female,"Kathleen ""Katie""•Monahan",Katie•Monahan,"9 November 1972 in Aspen, Colorado (USA)",,United States,99433,170 cm / 65 kg,"GMVS Ski Club, Waitsfield (USA)",,,,,,
1998 Winter Olympics; 2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics; 2018 Winter Olympics; 2022 Winter Olympics,Female,Sarah Kathryn•Schleper (-de Gaxiola),Sarah•Schleper,"19 February 1979 in Glenwood Springs, Colorado (USA)",,Mexico United States,99452,162 cm / 61 kg,"SSCV, Vail (USA)",,,,,,
1998 Winter Olympics; 2002 Winter Olympics,Female,"Alexandra Luise ""Alex""•Shaffer (-Wubbels)",Alex•Shaffer,"23 January 1976 in Aspen, Colorado (USA)",,United States,99473,170 cm / 70 kg,USSA,,,,,,
1998 Winter Olympics,Male,Andy•LeRoy,Andy•LeRoy,"24 June 1975 in Steamboat Springs, Colorado (USA)",,United States,99532,175 cm / 75 kg,"SSWSC, Steamboat Springs (USA)",,,,,,
1998 Winter Olympics,Male,Sacha•Gros,Sacha•Gros,"27 November 1974 in Glenwood Springs, Colorado (USA)",,United States,99542,175 cm / 84 kg,"SSWSC, Steamboat Springs (USA)",,,,,,
1998 Winter Olympics; 2002 Winter Olympics; 2010 Winter Olympics,Male,"Christopher Jeffries ""Chris""•Klug",Chris•Klug,"18 November 1972 in Vail, Colorado (USA)",,United States,99655,190 cm / 102 kg,"Aspen Valley Ski Club, Aspen (USA) / Colorado Mountain College, Glenwood Springs (USA)",,,,,,
1998 Winter Olympics,Male,"Matthew ""Matt""•Chojnacki",Matt•Chojnacki,"28 December 1973 in Denver, Colorado (USA)",,United States,99810,178 cm / 81 kg,,,,,,,
2002 Winter Olympics,Male,Jondon•Trevena,Jondon•Trevena,"10 July 1972 in Denver, Colorado (USA)",,United States,100956,175 cm / 78 kg,Fort Collins,,,,,,
2002 Winter Olympics,Male,"Matthew F. ""Matt""•Dayton",Matt•Dayton,"24 August 1977 in Fairplay, Colorado (USA)",,United States,101085,178 cm / 68 kg,"SSWSC, Steamboat Springs (USA)",,,,,,
2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics,Male,"John ""Johnny""•Spillane",Johnny•Spillane,"24 November 1980 in Steamboat Springs, Colorado (USA)",,United States,101094,183 cm / 67 kg,"SSWSC, Steamboat Springs (USA)",,,,,,
2002 Winter Olympics; 2006 Winter Olympics,Male,"Clinton ""Clint""•Jones",Clint•Jones,"5 October 1984 in Steamboat Springs, Colorado (USA)",,United States,101152,175 cm / 55 kg,"SSWSC, Steamboat Springs (USA)",,,,,,
2002 Winter Olympics; 2006 Winter Olympics,Male,Jeremy Ryan•Bloom,Jeremy•Bloom,"2 April 1982 in Fort Collins, Colorado (USA)",,United States,101347,175 cm / 77 kg,"Colorado Buffaloes, Boulder (USA)",,,,,,
2002 Winter Olympics; 2006 Winter Olympics,Male,"Thomas ""Tommy""•Schwall",Tommy•Schwall,"1 August 1983 in Steamboat Springs, Colorado (USA)",,United States,101435,183 cm / 64 kg,"SSWSC, Steamboat Springs (USA)",,,,,,
2006 Winter Olympics,Female,Rebecca Ann•Dussault (Quinn-),Rebecca•Dussault,"14 November 1980 in Denver, Colorado (USA)",,United States,109802,165 cm / 55 kg,Subaru Factory Team,,,,,,
2006 Winter Olympics,Female,Tracy•Barnes,Tracy•Barnes,"26 April 1982 in Durango, Colorado (USA)",,United States,109993,157 cm / 48 kg,"UMFK Bengals, Fort Kent, Maine (USA)",,,,,,
2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics,Female,Lanny L.•Barnes,Lanny•Barnes,"26 April 1982 in Durango, Colorado (USA)",,United States,110024,163 cm / 50 kg,"UMFK Bengals, Fort Kent, Maine (USA) / Mesa State Mavericks, Grand Junction (USA)",,,,,,
