Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1968 Winter Olympics; 1972 Winter Olympics,Female,Karen Annette•Budge (-Eaton),Karen•Budge,"14 November 1949 in Jackson Hole, Wyoming (USA)",,United States,80747,173 cm / 61 kg,"Jackson Hole Ski Club, Jackson Hole (USA)",,,,,,
1988 Winter Olympics,Male,Darin Perry•Binning,Darin•Binning,"5 May 1966 in Rock Springs, Wyoming (USA)",,United States,84132,178 cm / 70 kg,,,,,,,
1976 Winter Olympics; 1980 Winter Olympics; 1984 Winter Olympics,Male,Martin Olaf•Hagen,Martin•Hagen,"3 October 1954 in Jackson Hole, Wyoming (USA)",,United States,86367,183 cm / 77 kg,,,,,,,
1972 Winter Olympics,Male,Peter Van•Karns,Peter•Karns,"24 October 1945 in Jackson Hole, Wyoming (USA)",,United States,87799,178 cm / 66 kg,"US Army, (USA)",,,,,,
1948 Winter Olympics,Male,"Robert Lloyd ""Barney""•McLean",Barney•McLean,"23 December 1917 in Lander, Wyoming (USA)","19 July 2005 in Denver, Colorado (USA)",United States,95325,171 cm / 71 kg,Zipfelberger Ski Club,,,,,,
2006 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Female,Resi Frances•Stiegler,Resi•Stiegler,"14 November 1985 in Jackson Hole, Wyoming (USA)",,United States,110677,173 cm / 61 kg,Jackson Hole Ski and Snowboard Club (USA),,,,,,
2018 Winter Olympics; 2026 Winter Olympics,Female,Breezy (Breanna Noble-)•Johnson,Breezy•Johnson,"19 January 1996 in Jackson Hole, Wyoming (USA)",,United States,138247,173 cm / 66 kg,"Western Washington University / Rowmark Ski Academy, Salt Lake City",,,,,,
2026 Winter Olympics,Female,Anna•Gibson,Anna•Gibson,"7 May 1999 in Jackson, Wyoming (USA)",,United States,157248,,,,,,,,
