Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1924 Summer Olympics,Male,"Franklin Pitcher ""Pitch""•Johnson",Pitch•Johnson,"2 January 1901 in St. Louis, Missouri (USA)","21 September 1967 in Rubidoux, California (USA)",United States,78613,176 cm / 64 kg,"Illinois AC, Chicago (USA)",,,,,,
1928 Summer Olympics,Male,"Robert Matthew ""Bob""•Kelley",Bob•Kelley,"17 July 1897 in St. Louis, Missouri (USA)","24 May 1965 in Napa County, California (USA)",United States,78641,175 cm / 66 kg,"Olympic Club, San Francisco (USA)",,,,,,
1924 Summer Olympics,Male,"Daniel Chapin ""Dan""•Kinsey",Dan•Kinsey,"22 January 1902 in St. Louis, Missouri (USA)","27 June 1970 in Richmond, Indiana (USA)",United States,78654,183 cm / 72 kg,"Illinois Fighting Illini, Champaign (USA)",,,,,,
1984 Summer Olympics,Male,"Douglas Paul ""Doug""•Lytle",Doug•Lytle,"7 August 1962 in Kansas City, Missouri (USA)",,United States,78721,185 cm / 80 kg,Bud Light Track America,,,,,,
1928 Summer Olympics,Male,Charles English•McGinnis,Charles•McGinnis,"4 October 1906 in Kansas City, Missouri (USA)","29 April 1995 in Peoria, Arizona (USA)",United States,78763,180 cm / 68 kg,"Chicago AA, Chicago (USA)",,,,,,
1960 Summer Olympics,Male,"Philip Roy ""Phil""•Mulkey",Phil•Mulkey,"7 January 1933 in Monett, Missouri (USA)",17 September 2022,United States,78821,178 cm / 75 kg,Memphis Track Club,,,,,,
1924 Summer Olympics,Male,Tom Woodson•Poor,Tom•Poor,"15 December 1902 in Bismarck, Missouri (USA)","20 December 1965 in Grove, Oklahoma (USA)",United States,78905,183 cm / 73 kg,"Kansas Jayhawks, Lawrence (USA)",,,,,,
1996 Summer Olympics; 2000 Summer Olympics,Male,Jason•Pyrah,Jason•Pyrah,"6 April 1969 in Springfield, Missouri (USA)",,United States,78923,172 cm / 64 kg,"Mizuno Track Club, Osaka (JPN) / Nike, Beaverton (USA)",,,,,,
1928 Summer Olympics; 1932 Summer Olympics,Male,Harlow Phelps•Rothert,Harlow•Rothert,"1 April 1908 in Carthage, Missouri (USA)","13 August 1997 in Menlo Park, California (USA)",United States,78981,190 cm / 92 kg,"LAAC, Los Angeles (USA)",,,,,,
1932 Summer Olympics,Male,"George J.•Saling, Jr.",George•Saling,"24 July 1909 in Memphis, Missouri (USA)","15 April 1933 in St. Charles, Missouri (USA)",United States,78990,190 cm / 77 kg,"Iowa Hawkeyes, Iowa City (USA)",,,,,,
1956 Summer Olympics,Male,"Lonnie Vernon ""Lon""•Spurrier",Lon•Spurrier,"27 May 1932 in Cass Township, Missouri (USA)","23 June 2015 in San Pablo, California (USA)",United States,79084,183 cm / 72 kg,"Olympic Club, San Francisco (USA) / US Air Force, (USA)",,,,,,
1984 Summer Olympics,Male,"James Dale ""Jim""•Wooding",Jim•Wooding,"6 February 1954 in St. Louis, Missouri (USA)",,United States,79211,193 cm / 91 kg,"Shore AC, Spring Lake, New Jersey (USA)",,,,,,
1968 Summer Olympics; 1972 Summer Olympics; 1976 Summer Olympics,Male,George Roger•Woods,George•Woods,"11 February 1943 in Portageville, Missouri (USA)",30 August 2022,United States,79214,188 cm / 136 kg,"Pacific Coast Club, Long Beach (USA)",,,,,,
