Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1972 Summer Olympics,Male,"Michael Louis ""Mike""•Vespoli",Mike•Vespoli,"14 December 1946 in New Haven, Connecticut (USA)",,United States,40916,,"Vesper Boat Club, Philadelphia (USA)",,,,,,
1984 Summer Olympics,Male,"Edward Frederick ""Ed""•Etzel, Jr.",Ed•Etzel,"6 September 1952 in New Haven, Connecticut (USA)",,United States,44655,178 cm / 66 kg,"US Army, (USA)",,,,,,
1984 Summer Olympics,Female,Theresa•Andrews,Theresa•Andrews,"25 August 1962 in New London, Connecticut (USA)",,United States,50953,167 cm / 62 kg,"NBAC, Baltimore (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Female,Karen Julia•Josephson,Karen•Josephson,"10 January 1964 in Bristol, Connecticut (USA)",,United States,51075,162 cm / 55 kg,,,,,,,
1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics,Female,Sarah Gay•Josephson,Sarah•Josephson,"10 January 1964 in Bristol, Connecticut (USA)",,United States,51076,162 cm / 55 kg,"The Ohio State Buckeyes, Columbus (USA)",,,,,,
1952 Summer Olympics,Male,"Frank Martin•Dooley, III",Frank•Dooley,"21 March 1929 in New Haven, Connecticut (USA)",14 November 2022,United States,51322,,"The Ohio State Buckeyes, Columbus (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Male,"Daniel Ploug ""Dan""•Jorgensen",Dan•Jorgensen,"4 April 1968 in New London, Connecticut (USA)",,United States,51426,190 cm / 93 kg,,,,,,,
1952 Summer Olympics,Male,Wayne Richard•Moore,Wayne•Moore,"30 November 1931 in Bridgeport, Connecticut (USA)","20 February 2015 in Trumbull, Connecticut (USA)",United States,51496,,New Haven Swim Club,,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Jon C.•Olsen,Jon•Olsen,"25 April 1969 in New Britain, Connecticut (USA)",,United States,51512,195 cm / 82 kg,"Curl-Burke Swim Team / University of Alabama, USA",,,,,,
1948 Summer Olympics; 1952 Summer Olympics,Male,Allen McIntyre•Stack,Allen•Stack,"23 January 1928 in New Haven, Connecticut (USA)","12 September 1999 in Honolulu, Hawaii (USA)",United States,51573,,"US Navy, (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics,Male,Shawn Rodney•Sheldon,Shawn•Sheldon,"18 November 1964 in Norwich, Connecticut (USA)",,United States,60760,160 cm / 52 kg,"NYAC, New York (USA)",,,,,,
1924 Summer Olympics,Male,John Franklin•Spellman,John•Spellman,"14 June 1899 in Middletown, Connecticut (USA)","1 August 1966 in Mhangura, Mashonaland West (ZIM)",United States,60767,,"Brown Bears, Providence (USA)",,,,,,
1996 Summer Olympics; 2000 Summer Olympics,Female,Courtenay Compton•Becker-Dey,Courtenay•Becker-Dey,"27 April 1965 in Greenwich, Connecticut (USA)",,United States,60909,173 cm / 65 kg,American Yacht Club,,,,,,
1956 Summer Olympics,Male,"William Stanley Noel ""Stan""•Renehan",Stan•Renehan,"24 December 1929 in Norwalk, Connecticut (USA)","27 October 1995 in Delray Beach, Florida (USA)",United States,63433,178 cm / 74 kg,Essex Yacht Club,,,,,,
1956 Summer Olympics,Male,Victor Frank•Sheronas,Victor•Sheronas,"1 January 1909 in Waterbury, Connecticut (USA)","8 June 1981 in Haverford, Pennsylvania (USA)",United States,63638,,,,,,,,
1976 Summer Olympics,Female,"Janice Melbourne ""Jan""•Merrill",Jan•Merrill,"18 June 1956 in New London, Connecticut (USA)",,United States,77915,165 cm / 52 kg,Age Group Athletes Association,,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Female,Simone Estelle•Schaller (-Kirin),Simone•Schaller,"22 August 1912 in South Manchester, Connecticut (USA)","20 October 2016 in Arcadia, California (USA)",United States,77961,170 cm / 57 kg,"LAAC, Los Angeles (USA)",,,,,,
1960 Summer Olympics,Male,"Peter Michael ""Pete""•Close",Pete•Close,"28 August 1937 in East Hartford, Connecticut (USA)","14 March 1990 in Damariscotta, Maine (USA)",United States,78235,180 cm / 69 kg,"US Marine Corps, (USA)",,,,,,
1924 Summer Olympics,Male,William Albert•Comins,William•Comins,"16 April 1901 in Stafford, Connecticut (USA)","14 July 1965 in Cambridge, Massachusetts (USA)",United States,78251,175 cm / 64 kg,"Yale Bulldogs, New Haven (USA)",,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,"John Joseph ""Johnny""•Kelley",Johnny•Kelley,"24 December 1930 in Norwich, Connecticut (USA)","21 August 2011 in North Stonington, Connecticut (USA)",United States,78640,167 cm / 57 kg,"Boston AA, Boston (USA)",The Younger,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,"Joseph Paul ""Joe""•McCluskey",Joe•McCluskey,"2 June 1911 in South Manchester, Connecticut (USA)","31 August 2002 in Madison, Connecticut (USA)",United States,78757,183 cm / 71 kg,"NYAC, New York (USA)",,,,,,
1928 Summer Olympics; 1932 Summer Olympics,Male,"Albert Richard ""Whitey""•Michelsen",Whitey•Michelsen,"16 December 1893 in Danbury, Connecticut (USA)","7 July 1964 in St. Petersburg, Florida (USA)",United States,78789,172 cm / 64 kg,"Millrose AA, New York (USA)",,,,,,
