Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1956 Summer Olympics,Male,"Richard Carroll ""Dick""•Conner",Dick•Conner,"25 March 1934 in Pueblo, Colorado (USA)","8 July 2019 in Rancho Santa Fe, California (USA)",United States,51300,167 cm / 64 kg,"Pasadena Athletic and Country Club, Pasadena (USA)",,,,,,
1932 Summer Olympics,Male,James Raymond “Jim”•Gilhula,Jim•Gilhula,"14 June 1912 in Boone, Colorado (USA)","11 March 1962 in San Diego, California (USA)",United States,51359,,"Detroit Athletic Club, Detroit (USA)",,,,,,
1936 Summer Olympics,Male,"Alan ""Al""•Greene",Al•Greene,"29 August 1911 in Denver, Colorado (USA)","12 March 2001 in Mount Prospect, Illinois (USA)",United States,51371,,Lake Shore Athletic Club,,,,,,
1948 Summer Olympics,Male,Edwin Bruce•Knox,Edwin•Knox,"24 July 1914 in Arapahoe, Colorado (USA)","19 January 2004 in Longview, Washington (USA)",United States,54940,,"LAAC, Los Angeles (USA)",,,,,,
1964 Summer Olympics,Male,"James Edward ""Jim""•Burke",Jim•Burke,"20 February 1936 in Denver, Colorado (USA)","11 May 2006 in ?, California (USA)",United States,60585,178 cm / 70 kg,"Olympic Club, San Francisco (USA)",,,,,,
1932 Summer Olympics,Male,"Alphonse Adolph•Burnand, Jr.",Alphonse•Burnand,"21 January 1896 in Leadville, Colorado (USA)","4 December 1981 in Borrego Springs, California (USA)",United States,61501,,"California Yacht Club, Los Angeles (USA)",,,,,,
1988 Summer Olympics; 1992 Summer Olympics; 2000 Summer Olympics; 2004 Summer Olympics,Male,Paul Jeffrey•Foerster,Paul•Foerster,"19 November 1963 in Rangely, Colorado (USA)",,United States,62032,172 cm / 68 kg,"Rush Creek Yacht Club, Heath, TX",,,,,,
1984 Summer Olympics,Male,"Hans Christopher ""Chris""•Steinfeld",Chris•Steinfeld,"14 December 1959 in Denver, Colorado (USA)",,United States,63767,185 cm / 66 kg,Ullman Sails East,,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Female,Karen Linnea•Anderson-Oldham,Karen•Anderson-Oldham,"5 April 1938 in Denver, Colorado (USA)",,United States,77746,165 cm / 53 kg,"SDTC, San Diego (USA)",,,,,,
1972 Summer Olympics,Female,"Pamela D. ""Pam""•Greene",Pam•Greene,"15 February 1954 in Denver, Colorado (USA)",,United States,77846,170 cm / 55 kg,Denver All-Stars,,,,,,
